length,size,seed,method,fitness,min_hamming,avg_hamming,gc_penalty,homopolymer_penalty,collision_pairs_radius1,duplicate_count,kmer_entropy,valid_gc_fraction,valid_hp_fraction,runtime_seconds,candidate_pool_runtime_seconds,total_runtime_seconds,output_folder
12,64,20260428,Proposed,3.2566188793805195,6,9.135912698412698,0.0,0.0,0,0,0.9905856423589224,1.0,1.0,38.44123721122742,83.28985166549683,121.73108887672424,critical10_reference_free_transformer_L12_N64_seed_20260428
12,64,20260428,ABC-only,3.2555302526108254,6,9.120039682539682,0.0,0.0,0,0,0.9910538914650364,1.0,1.0,12.87908172607422,,12.87908172607422,critical10_reference_free_transformer_L12_N64_seed_20260428
12,64,20260429,Proposed,3.257346627070296,6,9.132936507936508,0.0,0.0,0,0,0.9925371694845079,1.0,1.0,37.4436411857605,82.6218934059143,120.0655345916748,critical10_reference_free_transformer_L12_N64_seed_20260429
12,64,20260429,ABC-only,3.256649260869555,6,9.118055555555555,0.0,0.0,0,0,0.9936225958131852,1.0,1.0,12.83121132850647,,12.83121132850647,critical10_reference_free_transformer_L12_N64_seed_20260429
12,64,20260430,Proposed,3.2576802756558476,6,9.132440476190476,0.0,0.0,0,0,0.9932871386132822,1.0,1.0,35.96267580986023,83.17404007911682,119.13671588897705,critical10_reference_free_transformer_L12_N64_seed_20260430
12,64,20260430,ABC-only,3.255408707701746,6,9.121031746031743,0.0,0.0,0,0,0.9906454577315348,1.0,1.0,12.94158172607422,,12.94158172607422,critical10_reference_free_transformer_L12_N64_seed_20260430
12,64,20260431,Proposed,3.256584276865859,6,9.13888888888889,0.0,0.0,0,0,0.9900204055835694,1.0,1.0,40.41439867019653,83.69767737388611,124.11207604408264,critical10_reference_free_transformer_L12_N64_seed_20260431
12,64,20260431,ABC-only,3.256784250242067,6,9.11656746031746,0.0,0.0,0,0,0.9941405904312248,1.0,1.0,13.17923069000244,,13.17923069000244,critical10_reference_free_transformer_L12_N64_seed_20260431
12,64,20260432,Proposed,3.2573632414227767,6,9.13888888888889,0.0,0.0,0,0,0.9915783346974053,1.0,1.0,41.05428123474121,81.82973432540894,122.88401556015015,critical10_reference_free_transformer_L12_N64_seed_20260432
12,64,20260432,ABC-only,3.255369470647007,6,9.118055555555555,0.0,0.0,0,0,0.9910630153680886,1.0,1.0,12.90863800048828,,12.90863800048828,critical10_reference_free_transformer_L12_N64_seed_20260432
12,64,20260433,Proposed,3.2571817245610473,6,9.132936507936508,0.0,0.0,0,0,0.9922073644660102,1.0,1.0,36.261619567871094,85.13478231430054,121.39640188217163,critical10_reference_free_transformer_L12_N64_seed_20260433
12,64,20260433,ABC-only,3.255291177012136,6,9.115575396825395,0.0,0.0,0,0,0.9913197878867052,1.0,1.0,13.23468804359436,,13.23468804359436,critical10_reference_free_transformer_L12_N64_seed_20260433
12,64,20260434,Proposed,3.256975928218102,6,9.13888888888889,0.0,0.0,0,0,0.9908037082880562,1.0,1.0,38.72704195976257,81.98234844207764,120.70939040184021,critical10_reference_free_transformer_L12_N64_seed_20260434
12,64,20260434,ABC-only,3.256000080133316,6,9.123511904761903,0.0,0.0,0,0,0.9914148428063144,1.0,1.0,12.960172653198242,,12.960172653198242,critical10_reference_free_transformer_L12_N64_seed_20260434
12,64,20260435,Proposed,3.2562867182780857,6,9.131944444444445,0.0,0.0,0,0,0.9905826958154309,1.0,1.0,38.619478702545166,82.21041893959045,120.82989764213562,critical10_reference_free_transformer_L12_N64_seed_20260435
12,64,20260435,ABC-only,3.256021553161234,6,9.115575396825395,0.0,0.0,0,0,0.9927805401849032,1.0,1.0,12.879653692245483,,12.879653692245483,critical10_reference_free_transformer_L12_N64_seed_20260435
12,64,20260436,Proposed,3.257078934665661,6,9.132440476190476,0.0,0.0,0,0,0.9920844566329082,1.0,1.0,41.28391122817993,91.27594375610352,132.55985498428345,critical10_reference_free_transformer_L12_N64_seed_20260436
12,64,20260436,ABC-only,3.255079302518703,6,9.121031746031743,0.0,0.0,0,0,0.989986647365448,1.0,1.0,13.90883469581604,,13.90883469581604,critical10_reference_free_transformer_L12_N64_seed_20260436
12,64,20260437,Proposed,3.2561897846901102,6,9.120039682539682,0.0,0.0,0,0,0.9923729556236068,1.0,1.0,40.536622047424316,82.26575875282288,122.80238080024719,critical10_reference_free_transformer_L12_N64_seed_20260437
12,64,20260437,ABC-only,3.2556297842315334,6,9.117063492063492,0.0,0.0,0,0,0.991748986452484,1.0,1.0,12.814192533493042,,12.814192533493042,critical10_reference_free_transformer_L12_N64_seed_20260437
12,128,20260428,Proposed,3.251336933767016,6,9.065698818897637,0.0,0.0,0,0,0.9917240643844255,1.0,1.0,156.9763207435608,88.39730715751648,245.37362790107727,critical10_reference_free_transformer_L12_N128_seed_20260428
12,128,20260428,ABC-only,2.919528507171273,5,9.0625,0.0,0.0,0,0,0.9953070143425472,1.0,1.0,50.49199891090393,,50.49199891090393,critical10_reference_free_transformer_L12_N128_seed_20260428
12,128,20260429,Proposed,3.251799970985109,6,9.061884842519685,0.0,0.0,0,0,0.9932858015502698,1.0,1.0,160.12659907341003,88.70681691169739,248.83341598510742,critical10_reference_free_transformer_L12_N128_seed_20260429
12,128,20260429,ABC-only,2.9198083101108416,5,9.060162401574804,0.0,0.0,0,0,0.9962562199592164,1.0,1.0,50.308809995651245,,50.308809995651245,critical10_reference_free_transformer_L12_N128_seed_20260429
12,128,20260430,Proposed,3.252772490554919,6,9.06779035433071,0.0,0.0,0,0,0.9942465887213868,1.0,1.0,158.65612745285034,84.87005710601807,243.5261845588684,critical10_reference_free_transformer_L12_N128_seed_20260430
12,128,20260430,ABC-only,2.919722493736156,5,9.06040846456693,0.0,0.0,0,0,0.996043576711156,1.0,1.0,49.084001779556274,,49.084001779556274,critical10_reference_free_transformer_L12_N128_seed_20260430
12,128,20260431,Proposed,3.250428353049116,6,9.061146653543307,0.0,0.0,0,0,0.9906655971743471,1.0,1.0,141.50214219093323,84.7819402217865,226.28408241271973,critical10_reference_free_transformer_L12_N128_seed_20260431
12,128,20260431,ABC-only,2.9194244108822422,5,9.062007874015748,0.0,0.0,0,0,0.9951808427618594,1.0,1.0,48.1550829410553,,48.1550829410553,critical10_reference_free_transformer_L12_N128_seed_20260431
12,128,20260432,Proposed,3.252268326159545,6,9.06459153543307,0.0,0.0,0,0,0.993771396413578,1.0,1.0,164.40360164642334,84.91932082176208,249.32292246818542,critical10_reference_free_transformer_L12_N128_seed_20260432
12,128,20260432,ABC-only,2.919407467014668,5,9.058070866141732,0.0,0.0,0,0,0.9958031230057136,1.0,1.0,48.38950657844544,,48.38950657844544,critical10_reference_free_transformer_L12_N128_seed_20260432
12,128,20260433,Proposed,3.2525730403876545,6,9.067913385826772,0.0,0.0,0,0,0.9938271831375133,1.0,1.0,154.11583733558655,83.96638703346252,238.08222436904907,critical10_reference_free_transformer_L12_N128_seed_20260433
12,128,20260433,ABC-only,2.918903882842261,5,9.058316929133856,0.0,0.0,0,0,0.9947549441622122,1.0,1.0,48.83560562133789,,48.83560562133789,critical10_reference_free_transformer_L12_N128_seed_20260433
12,128,20260434,Proposed,3.2523382345814498,6,9.06865157480315,0.0,0.0,0,0,0.9932345400290415,1.0,1.0,165.22632026672363,83.94308567047119,249.16940593719482,critical10_reference_free_transformer_L12_N128_seed_20260434
12,128,20260434,ABC-only,2.9190864813499373,5,9.059301181102365,0.0,0.0,0,0,0.9949560991828142,1.0,1.0,48.3960645198822,,48.3960645198822,critical10_reference_free_transformer_L12_N128_seed_20260434
12,128,20260435,Proposed,3.2510552305814295,6,9.066683070866143,0.0,0.0,0,0,0.9909966160185016,1.0,1.0,158.36730432510376,84.87744855880737,243.24475288391113,critical10_reference_free_transformer_L12_N128_seed_20260435
12,128,20260435,ABC-only,2.919354571735107,5,9.05843996062992,0.0,0.0,0,0,0.99563581669856,1.0,1.0,48.37343978881836,,48.37343978881836,critical10_reference_free_transformer_L12_N128_seed_20260435
12,128,20260436,Proposed,3.253177448502046,6,9.061761811023622,0.0,0.0,0,0,0.9960612618334884,1.0,1.0,156.27506279945374,85.20466041564941,241.47972321510315,critical10_reference_free_transformer_L12_N128_seed_20260436
12,128,20260436,ABC-only,2.919644815454385,5,9.062007874015748,0.0,0.0,0,0,0.9956216519061446,1.0,1.0,48.63827610015869,,48.63827610015869,critical10_reference_free_transformer_L12_N128_seed_20260436
12,128,20260437,Proposed,3.2516038943769234,6,9.06496062992126,0.0,0.0,0,0,0.992381017100303,1.0,1.0,163.55186414718628,84.85690879821777,248.40877294540405,critical10_reference_free_transformer_L12_N128_seed_20260437
12,128,20260437,ABC-only,2.919496881491625,5,9.057455708661417,0.0,0.0,0,0,0.9960844782063468,1.0,1.0,47.96172499656677,,47.96172499656677,critical10_reference_free_transformer_L12_N128_seed_20260437
