iteration,best_fitness,mean_fitness,current_best_fitness,min_hamming,avg_hamming,collision_pairs_radius1,pool_use_prob
1,3.257112960337691,3.169881075725735,3.257112960337691,6,9.138392857142858,0,0.6
2,3.2572163752352656,3.1704360593072924,3.2572163752352656,6,9.129960317460318,0,0.5763157894736842
3,3.257243505912365,3.198706574069291,3.257243505912365,6,9.13343253968254,0,0.5526315789473684
4,3.257243505912365,3.198843675202873,3.257243505912365,6,9.13343253968254,0,0.5289473684210526
5,3.257243505912365,3.226600015510309,3.257243505912365,6,9.13343253968254,0,0.5052631578947369
6,3.257243505912365,3.2266300243004244,3.257243505912365,6,9.13343253968254,0,0.48157894736842105
7,3.257243505912365,3.254635904866688,3.257243505912365,6,9.13343253968254,0,0.45789473684210524
8,3.257243505912365,3.25474047067032,3.257243505912365,6,9.13343253968254,0,0.4342105263157895
9,3.257243505912365,3.2548148754661725,3.257243505912365,6,9.13343253968254,0,0.4105263157894737
10,3.257243505912365,3.254825813303903,3.257243505912365,6,9.13343253968254,0,0.3868421052631579
11,3.257246215897357,3.254865317607511,3.257246215897357,6,9.13343253968254,0,0.3631578947368421
12,3.257246215897357,3.2548812644263223,3.257246215897357,6,9.13343253968254,0,0.3394736842105263
13,3.257246215897357,3.254901799236494,3.257246215897357,6,9.13343253968254,0,0.31578947368421056
14,3.2573034659500397,3.2549065700742172,3.2573034659500397,6,9.129960317460318,0,0.29210526315789476
15,3.2573034659500397,3.254798969022472,3.2573034659500397,6,9.129960317460318,0,0.26842105263157895
16,3.2573034659500397,3.2549598742457593,3.2573034659500397,6,9.129960317460318,0,0.24473684210526314
17,3.2573034659500397,3.2549598742457593,3.2573034659500397,6,9.129960317460318,0,0.2210526315789474
18,3.2573034659500397,3.2550133107619654,3.2573034659500397,6,9.129960317460318,0,0.19736842105263158
19,3.2574703154090803,3.2550272148835515,3.2574703154090803,6,9.126488095238095,0,0.17368421052631583
20,3.2574703154090803,3.255055695618086,3.2574703154090803,6,9.126488095238095,0,0.15000000000000002
