experiment,length,size,seed,method,fitness,min_hamming,avg_hamming,gc_penalty,homopolymer_penalty,collision_pairs_radius1,duplicate_count,kmer_entropy,valid_gc_fraction,valid_hp_fraction,runtime_seconds,candidate_pool_runtime_seconds,total_runtime_seconds,raw_pool_size,seed_pool_size,filter_sample_size,raw_generated_unique,selected_pool_size,transformer_candidates,random_fill_candidates,transformer_stream_bases,raw_kmer_entropy,selected_kmer_entropy,selected_valid_gc_fraction,selected_valid_hp_fraction,out_dir
L12_N64,12,64,20260428,ABC-only control,3.2555302526108254,6,9.120039682539682,0.0,0.0,0,0,0.9910538914650365,1.0,1.0,13.083441495895386,0.0,13.083441495895386,512,256,80,512,256,307,205,14736,0.9786798096906493,0.9896541103317161,1.0,1.0,matrix_reference_free_transformer_L12_N64_seed_20260428
L12_N64,12,64,20260428,Reference-free Transformer-generated pool + ABC,3.2574703154090803,6,9.126488095238095,0.0,0.0,0,0,0.9938592816118114,1.0,1.0,34.759156227111816,47.22964906692505,81.98880529403687,512,256,80,512,256,307,205,14736,0.9786798096906493,0.9896541103317161,1.0,1.0,matrix_reference_free_transformer_L12_N64_seed_20260428
L12_N64,12,64,20260429,ABC-only control,3.256649260869555,6,9.118055555555555,0.0,0.0,0,0,0.9936225958131851,1.0,1.0,13.588897228240967,0.0,13.588897228240967,512,256,80,512,256,307,205,14736,0.9899625348721424,0.9915516297560477,1.0,1.0,matrix_reference_free_transformer_L12_N64_seed_20260429
L12_N64,12,64,20260429,Reference-free Transformer-generated pool + ABC,3.2566627805773782,6,9.128472222222221,0.0,0.0,0,0,0.9919135241177196,1.0,1.0,38.915772914886475,48.630799531936646,87.54657244682312,512,256,80,512,256,307,205,14736,0.9899625348721424,0.9915516297560477,1.0,1.0,matrix_reference_free_transformer_L12_N64_seed_20260429
L12_N64,12,64,20260430,ABC-only control,3.255408707701746,6,9.121031746031745,0.0,0.0,0,0,0.9906454577315348,1.0,1.0,13.33540678024292,0.0,13.33540678024292,512,256,80,512,256,307,205,14736,0.9887122681815796,0.9925979899985364,1.0,1.0,matrix_reference_free_transformer_L12_N64_seed_20260430
L12_N64,12,64,20260430,Reference-free Transformer-generated pool + ABC,3.2570189358979444,6,9.131944444444445,0.0,0.0,0,0,0.9920471310551485,1.0,1.0,38.71810579299927,46.680275440216064,85.39838123321533,512,256,80,512,256,307,205,14736,0.9887122681815796,0.9925979899985364,1.0,1.0,matrix_reference_free_transformer_L12_N64_seed_20260430
L12_N96,12,96,20260428,ABC-only control,3.2541135166645545,6,9.075438596491228,0.0,0.0,0,0,0.9956539339139043,1.0,1.0,29.883591890335083,0.0,29.883591890335083,768,384,80,768,384,461,307,22128,0.9798895323528911,0.9893937095734929,1.0,1.0,matrix_reference_free_transformer_L12_N96_seed_20260428
L12_N96,12,96,20260428,Reference-free Transformer-generated pool + ABC,3.2532580815040215,6,9.092105263157896,0.0,0.0,0,0,0.9911652858150605,1.0,1.0,102.66978216171265,75.77610087394714,178.4458830356598,768,384,80,768,384,461,307,22128,0.9798895323528911,0.9893937095734929,1.0,1.0,matrix_reference_free_transformer_L12_N96_seed_20260428
L12_N96,12,96,20260429,ABC-only control,3.253525211506276,6,9.08530701754386,0.0,0.0,0,0,0.9928325867552417,1.0,1.0,29.40945029258728,0.0,29.40945029258728,768,384,80,768,384,461,307,22128,0.9915561684049115,0.9934473006788722,1.0,1.0,matrix_reference_free_transformer_L12_N96_seed_20260429
L12_N96,12,96,20260429,Reference-free Transformer-generated pool + ABC,3.254241800757815,6,9.089912280701755,0.0,0.0,0,0,0.993498221398671,1.0,1.0,97.65071535110474,75.85232734680176,173.5030426979065,768,384,80,768,384,461,307,22128,0.9915561684049115,0.9934473006788722,1.0,1.0,matrix_reference_free_transformer_L12_N96_seed_20260429
