experiment,length,size,seed,fitness_abc_only,fitness_proposed,delta_fitness,avg_hamming_abc_only,avg_hamming_proposed,delta_avg_hamming,proposed_better
L12_N64,12,64,20260428,3.2555302526108254,3.2574703154090803,0.0019400627982548713,9.120039682539682,9.126488095238095,0.006448412698413009,1
L12_N64,12,64,20260429,3.256649260869555,3.2566627805773782,1.3519707823039795e-05,9.118055555555555,9.128472222222221,0.010416666666666075,1
L12_N64,12,64,20260430,3.255408707701746,3.2570189358979444,0.0016102281961982712,9.121031746031745,9.131944444444445,0.010912698412699484,1
L12_N96,12,96,20260428,3.2541135166645545,3.2532580815040215,-0.0008554351605329913,9.075438596491228,9.092105263157896,0.016666666666667496,0
L12_N96,12,96,20260429,3.253525211506276,3.254241800757815,0.0007165892515392791,9.08530701754386,9.089912280701755,0.004605263157895223,1
L12_N96,12,96,20260430,3.2532344679259353,3.254576809393989,0.001342341468053565,9.075,9.092105263157896,0.01710526315789629,1
L12_N128,12,128,20260428,2.9195285071712735,3.251840789076401,0.3323122819051276,9.0625,9.06865157480315,0.006151574803149984,1
L12_N128,12,128,20260429,2.9198083101108416,3.2532580468762173,0.3334497367653757,9.060162401574804,9.068405511811024,0.008243110236220375,1
L12_N128,12,128,20260430,2.9197224937361557,3.2532825248733124,0.3335600311371567,9.06040846456693,9.066806102362206,0.006397637795275912,1
L16_N64,16,64,20260428,3.50470719135481,3.5054448019652447,0.0007376106104346469,12.134424603174603,12.158730158730158,0.024305555555555358,1
L16_N64,16,64,20260429,3.5064037631400917,3.5076217682803126,0.001218005140220857,12.155257936507937,12.166666666666666,0.011408730158729341,1
L16_N64,16,64,20260430,3.504873457187541,3.5061392734178263,0.0012658162302852105,12.129464285714286,12.172123015873016,0.04265873015872934,1
L16_N96,16,96,20260428,3.254815635607832,3.2543189526680387,-0.0004966829397932138,12.10701754385965,12.10548245614035,-0.0015350877192989998,0
L16_N96,16,96,20260429,3.253908320558757,3.254780326345444,0.0008720057866868913,12.1,12.117982456140352,0.0179824561403521,1
L16_N96,16,96,20260430,3.2546955736848355,3.2546136031970083,-8.197048782720984e-05,12.106140350877194,12.108991228070176,0.0028508771929818266,0
