experiment,length,size,metric,n_pairs,mean_delta,std_delta,median_delta,min_delta,max_delta,proposed_wins,ties,abc_only_wins,wilcoxon_statistic,wilcoxon_p_two_sided
critical_10seed,12,64,fitness,10,0.00115425516801807,0.0008454059810721842,0.00103223742724,-0.0001999733762083,0.0022715679541014,9,0,1,1.0,0.00390625
critical_10seed,12,64,min_hamming,10,0.0,0.0,0.0,0.0,0.0,0,10,0,,
critical_10seed,12,64,avg_hamming,10,0.01488095238095338,0.005438784458795857,0.01562500000000085,0.0029761904761897,0.0223214285714288,10,0,0,0.0,0.001953125
critical_10seed,12,64,collision_pairs_radius1,10,0.0,0.0,0.0,0.0,0.0,0,10,0,,
critical_10seed,12,128,fitness,10,0.33249761011567125,0.0008943842474233533,0.33248393601508774,0.3310039421668738,0.3336691575453936,10,0,0,0.0,0.001953125
critical_10seed,12,128,min_hamming,10,1.0,0.0,1.0,1.0,1.0,10,0,0,0.0,0.001953125
critical_10seed,12,128,avg_hamming,10,0.00524114173228365,0.003945627730104547,0.006951279527559201,-0.0008612204724407,0.0095964566929165,8,0,2,3.0,0.009765625
critical_10seed,12,128,collision_pairs_radius1,10,0.0,0.0,0.0,0.0,0.0,0,10,0,,
scalability_L16_N256,16,256,fitness,3,0.24958832551918708,0.000431701265857749,0.249755811275135,0.2490979779509929,0.2499111873314334,3,0,0,0.0,0.25
scalability_L16_N256,16,256,min_hamming,3,1.0,0.0,1.0,1.0,1.0,3,0,0,0.0,0.25
scalability_L16_N256,16,256,avg_hamming,3,0.0052798202614377995,0.0012412185134180272,0.0056678921568629,0.003890931372549,0.0062806372549015,3,0,0,0.0,0.25
scalability_L16_N256,16,256,collision_pairs_radius1,3,0.0,0.0,0.0,0.0,0.0,0,3,0,,
