experiment,length,size,seed,method,fitness,min_hamming,avg_hamming,gc_penalty,homopolymer_penalty,collision_pairs_radius1,duplicate_count,kmer_entropy,valid_gc_fraction,valid_hp_fraction,runtime_seconds,candidate_pool_size
L12_N64,12,64,20260428,Random constrained,2.2491641837061134,3,9.053075396825397,0.0,0.0,0,0,0.9894824679413271,1.0,1.0,0.012013435363769531,
L12_N64,12,64,20260428,Greedy constrained,3.2554353424844322,6,9.131944444444445,0.0,0.0,0,0,0.9888799442281239,1.0,1.0,4.951099634170532,1280
L12_N64,12,64,20260429,Random constrained,1.905686238031227,2,9.008928571428571,0.0,0.0,1,0,0.9805193014592796,1.0,1.0,0.015613317489624023,
L12_N64,12,64,20260429,Greedy constrained,3.5892089050794556,7,9.128968253968255,0.0,0.0,0,0,0.9902564344975352,1.0,1.0,5.030766487121582,1280
L12_N64,12,64,20260430,Random constrained,2.5726162915774213,4,8.978174603174603,0.0,0.0,0,0,0.9822034826257422,1.0,1.0,0.005265951156616211,
L12_N64,12,64,20260430,Greedy constrained,3.2561281884507354,6,9.131448412698413,0.0,0.0,0,0,0.9903483081184018,1.0,1.0,5.211946964263916,1280
L12_N128,12,128,20260428,Random constrained,1.9121236215577249,2,8.996186023622048,0.0,0.0,1,0,0.9925338244802795,1.0,1.0,0.011143684387207031,
L12_N128,12,128,20260428,Greedy constrained,3.2527723835009783,6,9.069635826771654,0.0,0.0,0,0,0.9939387958733473,1.0,1.0,16.975836277008057,2560
L12_N128,12,128,20260429,Random constrained,1.910271136347752,2,9.0033218503937,0.0,0.0,2,0,0.9886238015668954,1.0,1.0,0.010396957397460938,
L12_N128,12,128,20260429,Greedy constrained,3.2521439370650436,6,9.069758858267717,0.0,0.0,0,0,0.9926613977521347,1.0,1.0,17.61192226409912,2560
L12_N128,12,128,20260430,Random constrained,2.244577178713713,3,9.001845472440944,0.0,0.0,0,0,0.988846778687269,1.0,1.0,0.00996255874633789,
L12_N128,12,128,20260430,Greedy constrained,3.2524002169932675,6,9.069635826771654,0.0,0.0,0,0,0.9931944628579265,1.0,1.0,17.252465963363647,2560
L16_N64,16,64,20260428,Random constrained,2.4973438228741283,5,12.037202380952381,0.0,0.0,0,0,0.9900373481292094,1.0,1.0,0.0,
L16_N64,16,64,20260428,Greedy constrained,3.507057348043403,9,12.182539682539682,0.0,0.0,0,0,0.9912972357693457,1.0,1.0,5.520102500915527,1280
L16_N64,16,64,20260429,Random constrained,2.492084876579075,5,11.978670634920634,0.0,0.0,0,0,0.986835923793071,1.0,1.0,0.0,
L16_N64,16,64,20260429,Greedy constrained,3.506687875383598,9,12.183035714285714,0.0,0.0,0,0,0.990496286481481,1.0,1.0,5.745530605316162,1280
L16_N64,16,64,20260430,Random constrained,2.7484065258731354,6,12.055555555555555,0.0,0.0,0,0,0.9898686073018258,1.0,1.0,0.009425640106201172,
L16_N64,16,64,20260430,Greedy constrained,3.5075706735401693,9,12.183531746031745,0.0,0.0,0,0,0.9921998788263705,1.0,1.0,5.557916164398193,1280
